OBJECTID,ZIPCODE,ZIP,TOOLTIP,NLA_URL
1,90001,90001,Zip Code: 90001,navigatela/reports/zipcode_county_report.cfm?pk=90001
2,90002,90002,Zip Code: 90002,navigatela/reports/zipcode_county_report.cfm?pk=90002
3,90003,90003,Zip Code: 90003,navigatela/reports/zipcode_county_report.cfm?pk=90003
4,90004,90004,Zip Code: 90004,navigatela/reports/zipcode_county_report.cfm?pk=90004
5,90005,90005,Zip Code: 90005,navigatela/reports/zipcode_county_report.cfm?pk=90005
6,90006,90006,Zip Code: 90006,navigatela/reports/zipcode_county_report.cfm?pk=90006
7,90007,90007,Zip Code: 90007,navigatela/reports/zipcode_county_report.cfm?pk=90007
8,90008,90008,Zip Code: 90008,navigatela/reports/zipcode_county_report.cfm?pk=90008
9,90010,90010,Zip Code: 90010,navigatela/reports/zipcode_county_report.cfm?pk=90010
10,90011,90011,Zip Code: 90011,navigatela/reports/zipcode_county_report.cfm?pk=90011
11,90012,90012,Zip Code: 90012,navigatela/reports/zipcode_county_report.cfm?pk=90012
12,90013,90013,Zip Code: 90013,navigatela/reports/zipcode_county_report.cfm?pk=90013
13,90014,90014,Zip Code: 90014,navigatela/reports/zipcode_county_report.cfm?pk=90014
14,90015,90015,Zip Code: 90015,navigatela/reports/zipcode_county_report.cfm?pk=90015
15,90016,90016,Zip Code: 90016,navigatela/reports/zipcode_county_report.cfm?pk=90016
16,90017,90017,Zip Code: 90017,navigatela/reports/zipcode_county_report.cfm?pk=90017
17,90018,90018,Zip Code: 90018,navigatela/reports/zipcode_county_report.cfm?pk=90018
18,90019,90019,Zip Code: 90019,navigatela/reports/zipcode_county_report.cfm?pk=90019
19,90020,90020,Zip Code: 90020,navigatela/reports/zipcode_county_report.cfm?pk=90020
20,90021,90021,Zip Code: 90021,navigatela/reports/zipcode_county_report.cfm?pk=90021
21,90022,90022,Zip Code: 90022,navigatela/reports/zipcode_county_report.cfm?pk=90022
22,90023,90023,Zip Code: 90023,navigatela/reports/zipcode_county_report.cfm?pk=90023
23,90024,90024,Zip Code: 90024,navigatela/reports/zipcode_county_report.cfm?pk=90024
24,90025,90025,Zip Code: 90025,navigatela/reports/zipcode_county_report.cfm?pk=90025
25,90026,90026,Zip Code: 90026,navigatela/reports/zipcode_county_report.cfm?pk=90026
26,90027,90027,Zip Code: 90027,navigatela/reports/zipcode_county_report.cfm?pk=90027
27,90028,90028,Zip Code: 90028,navigatela/reports/zipcode_county_report.cfm?pk=90028
28,90029,90029,Zip Code: 90029,navigatela/reports/zipcode_county_report.cfm?pk=90029
29,90031,90031,Zip Code: 90031,navigatela/reports/zipcode_county_report.cfm?pk=90031
30,90032,90032,Zip Code: 90032,navigatela/reports/zipcode_county_report.cfm?pk=90032
31,90033,90033,Zip Code: 90033,navigatela/reports/zipcode_county_report.cfm?pk=90033
32,90034,90034,Zip Code: 90034,navigatela/reports/zipcode_county_report.cfm?pk=90034
33,90035,90035,Zip Code: 90035,navigatela/reports/zipcode_county_report.cfm?pk=90035
34,90036,90036,Zip Code: 90036,navigatela/reports/zipcode_county_report.cfm?pk=90036
35,90037,90037,Zip Code: 90037,navigatela/reports/zipcode_county_report.cfm?pk=90037
36,90038,90038,Zip Code: 90038,navigatela/reports/zipcode_county_report.cfm?pk=90038
37,90039,90039,Zip Code: 90039,navigatela/reports/zipcode_county_report.cfm?pk=90039
38,90040,90040,Zip Code: 90040,navigatela/reports/zipcode_county_report.cfm?pk=90040
39,90041,90041,Zip Code: 90041,navigatela/reports/zipcode_county_report.cfm?pk=90041
40,90042,90042,Zip Code: 90042,navigatela/reports/zipcode_county_report.cfm?pk=90042
41,90043,90043,Zip Code: 90043,navigatela/reports/zipcode_county_report.cfm?pk=90043
42,90044,90044,Zip Code: 90044,navigatela/reports/zipcode_county_report.cfm?pk=90044
43,90045,90045,Zip Code: 90045,navigatela/reports/zipcode_county_report.cfm?pk=90045
44,90046,90046,Zip Code: 90046,navigatela/reports/zipcode_county_report.cfm?pk=90046
45,90047,90047,Zip Code: 90047,navigatela/reports/zipcode_county_report.cfm?pk=90047
46,90048,90048,Zip Code: 90048,navigatela/reports/zipcode_county_report.cfm?pk=90048
47,90049,90049,Zip Code: 90049,navigatela/reports/zipcode_county_report.cfm?pk=90049
48,90056,90056,Zip Code: 90056,navigatela/reports/zipcode_county_report.cfm?pk=90056
49,90057,90057,Zip Code: 90057,navigatela/reports/zipcode_county_report.cfm?pk=90057
50,90058,90058,Zip Code: 90058,navigatela/reports/zipcode_county_report.cfm?pk=90058
